"participant","candidate","names","Data","Language","Social","Experience","crit","rating","model_pred"
"l1l4",1,"Joana",0,0,0,0,0,2,NA
"l1l4",2,"Filipa",1,0,0,0,4,2,NA
"l1l4",3,"Simone",0,1,0,0,3,2,NA
"l1l4",4,"Ulrike",1,1,0,0,7,6,NA
"l1l4",5,"Ute",0,0,1,0,2,2,NA
"l1l4",6,"Rita",1,0,1,0,6,6,NA
"l1l4",7,"Bettina",0,1,1,0,5,7,NA
"l1l4",8,"Guilia",1,1,1,0,9,8,NA
"l1l4",9,"Fernande",0,0,0,1,1,6,NA
"l1l4",10,"Maria",1,0,0,1,5,6,NA
"l1l4",11,"Bela",0,1,0,1,4,7,NA
"l1l4",12,"Salome",1,1,0,1,8,9,NA
"l1l4",13,"Manuela",0,0,1,1,3,7,NA
"l1l4",14,"Dominque",1,0,1,1,7,8,NA
"l1l4",15,"Jule",0,1,1,1,6,9,NA
"l1l4",16,"Tina",1,1,1,1,10,8,NA
"RNNA19",1,"Joana",0,0,0,0,0,0,NA
"RNNA19",2,"Filipa",1,0,0,0,4,4,NA
"RNNA19",3,"Simone",0,1,0,0,3,1,NA
"RNNA19",4,"Ulrike",1,1,0,0,7,6,NA
"RNNA19",5,"Ute",0,0,1,0,2,2,NA
"RNNA19",6,"Rita",1,0,1,0,6,6,NA
"RNNA19",7,"Bettina",0,1,1,0,5,6,NA
"RNNA19",8,"Guilia",1,1,1,0,9,9,NA
"RNNA19",9,"Fernande",0,0,0,1,1,2,NA
"RNNA19",10,"Maria",1,0,0,1,5,8,NA
"RNNA19",11,"Bela",0,1,0,1,4,7,NA
"RNNA19",12,"Salome",1,1,0,1,8,9,NA
"RNNA19",13,"Manuela",0,0,1,1,3,8,NA
"RNNA19",14,"Dominque",1,0,1,1,7,9,NA
"RNNA19",15,"Jule",0,1,1,1,6,8,NA
"RNNA19",16,"Tina",1,1,1,1,10,10,NA
"ABC123",1,"Joana",0,0,0,0,0,0,NA
"ABC123",2,"Filipa",1,0,0,0,4,4,NA
"ABC123",3,"Simone",0,1,0,0,3,2,NA
"ABC123",4,"Ulrike",1,1,0,0,7,6,NA
"ABC123",5,"Ute",0,0,1,0,2,2,NA
"ABC123",6,"Rita",1,0,1,0,6,6,NA
"ABC123",7,"Bettina",0,1,1,0,5,6,NA
"ABC123",8,"Guilia",1,1,1,0,9,9,NA
"ABC123",9,"Fernande",0,0,0,1,1,1,NA
"ABC123",10,"Maria",1,0,0,1,5,7,NA
"ABC123",11,"Bela",0,1,0,1,4,7,NA
"ABC123",12,"Salome",1,1,0,1,8,8,NA
"ABC123",13,"Manuela",0,0,1,1,3,6,NA
"ABC123",14,"Dominque",1,0,1,1,7,8,NA
"ABC123",15,"Jule",0,1,1,1,6,8,NA
"ABC123",16,"Tina",1,1,1,1,10,10,NA
"Ordnassela",1,"Joana",0,0,0,0,0,1,NA
"Ordnassela",2,"Filipa",1,0,0,0,4,4,NA
"Ordnassela",3,"Simone",0,1,0,0,3,2,NA
"Ordnassela",4,"Ulrike",1,1,0,0,7,6,NA
"Ordnassela",5,"Ute",0,0,1,0,2,2,NA
"Ordnassela",6,"Rita",1,0,1,0,6,6,NA
"Ordnassela",7,"Bettina",0,1,1,0,5,4,NA
"Ordnassela",8,"Guilia",1,1,1,0,9,8,NA
"Ordnassela",9,"Fernande",0,0,0,1,1,1,NA
"Ordnassela",10,"Maria",1,0,0,1,5,6,NA
"Ordnassela",11,"Bela",0,1,0,1,4,4,NA
"Ordnassela",12,"Salome",1,1,0,1,8,8,NA
"Ordnassela",13,"Manuela",0,0,1,1,3,4,NA
"Ordnassela",14,"Dominque",1,0,1,1,7,8,NA
"Ordnassela",15,"Jule",0,1,1,1,6,7,NA
"Ordnassela",16,"Tina",1,1,1,1,10,10,NA
